feature_id,source,original_id,text,llm,scoring_format,prompt_template_ref,precision,recall,f1_score,f_beta_0.5,accuracy,exclusion,notes
rrf_Q000,rrf_vcbench_curated,000,Has the founder graduated from an institution ranked in the QS top 10?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.1783960720130933,0.2691358024691358,0.2145669291338583,0.1912951912951913,0.8226666666666667,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q002,rrf_vcbench_curated,002,Has the founder held a C-level role in a startup or company?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.10205054840247973,0.528395061728395,0.17106314948041565,0.12168770612987605,0.5391111111111111,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q003,rrf_vcbench_curated,003,Has the founder served on a board of directors?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.1112176414189837,0.28641975308641976,0.1602209944751381,0.1267205593183308,0.7297777777777777,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q008,rrf_vcbench_curated,008,Does the founder have experience in venture capital or private equity?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.17336683417085427,0.17037037037037037,0.1718555417185554,0.1727591387080621,0.8522222222222222,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q009,rrf_vcbench_curated,009,Does the founder have at least 10 years of total professional experience?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.103397341211226,0.345679012345679,0.15918135304150083,0.12025425184676172,0.6713333333333333,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q012,rrf_vcbench_curated,012,Is the founder involved in mentorship or advisory roles within their industry?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.0995405819295559,0.16049382716049382,0.12287334593572777,0.10772290354656944,0.7937777777777778,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q014,rrf_vcbench_curated,014,"Did the founder's previous work experience include tenure at a company with over 10,000 employees?",gpt-4o-mini,binary,prompts/rrf_curated.md,0.11021640664318068,0.5407407407407407,0.1831103678929766,0.13109062612235126,0.5657777777777778,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q018,rrf_vcbench_curated,018,Has the founder served in an advisory role for over 4 years?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.11168831168831168,0.10617283950617284,0.1088607594936709,0.11053984575835474,0.8435555555555555,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q020,rrf_vcbench_curated,020,Does the founder have domain expertise in their startup's industry for more than 5 years?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.10687022900763359,0.2419753086419753,0.14826021180030255,0.12030444389884605,0.7497777777777778,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q023,rrf_vcbench_curated,023,Has the founder experienced rapid career progression within their roles?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.11771428571428572,0.508641975308642,0.1911832946635731,0.13909520594193112,0.6126666666666667,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q024,rrf_vcbench_curated,024,"Did the founder earn an advanced degree (MD, MBA, PhD) from an institution ranked in the top 50 by QS?",gpt-4o-mini,binary,prompts/rrf_curated.md,0.16401273885350318,0.254320987654321,0.19941916747337848,0.17655125128556737,0.8162222222222222,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q025,rrf_vcbench_curated,025,Has the founder worked in the VC or PE industry?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.17039106145251395,0.1506172839506173,0.1598951507208388,0.16603157321720197,0.8575555555555555,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q027,rrf_vcbench_curated,027,"Is the founder's highest degree a professional doctorate (e.g., PhD)?",gpt-4o-mini,binary,prompts/rrf_curated.md,0.12079510703363915,0.19506172839506172,0.14919735599622286,0.13075140681893413,0.7997777777777778,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q029,rrf_vcbench_curated,029,Does the founder have a degree in a STEM field?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.11924257932446264,0.5753086419753086,0.1975413310724883,0.1417102542269797,0.5793333333333334,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q030,rrf_vcbench_curated,030,Does the founder possess a technical degree related to Engineering or Computer Science?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.1158273381294964,0.39753086419753086,0.17938718662952646,0.13495389773679797,0.6726666666666666,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q031,rrf_vcbench_curated,031,Did the founder hold a technical position for over 6 years?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.12167832167832168,0.21481481481481482,0.15535714285714286,0.1332312404287902,0.7897777777777778,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q034,rrf_vcbench_curated,034,Does the founder have experience in the Biotechnology sector?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.17579250720461095,0.1506172839506173,0.1622340425531915,0.17010596765197994,0.86,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q035,rrf_vcbench_curated,035,Has the founder worked in the Financial Services industry for over 2 years?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.1076923076923077,0.1037037037037037,0.10566037735849058,0.1068702290076336,0.842,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q036,rrf_vcbench_curated,036,Is the founder's undergraduate degree related to their current industry?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.1306532663316583,0.44938271604938274,0.2024471635150167,0.1522502927890246,0.6813333333333333,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
rrf_Q037,rrf_vcbench_curated,037,Has the founder previously held a role as a CEO or managing director?,gpt-4o-mini,binary,prompts/rrf_curated.md,0.09200603318250378,0.3012345679012346,0.14095898324667824,0.10684883517253459,0.6695555555555556,,Top-20 selected from 40 curated; metrics computed on screening sample (~500 founders)
